Date,Price,Open,High,Low,Vol.,Change %,,
21-Jan-15,3634.70,3606.50,3688.60,3603.25,46.64K,0.88%,,
20-Jan-15,3602.90,3610.00,3634.50,3586.00,40.17K,-0.65%,,
19-Jan-15,3626.35,3616.35,3640.00,3612.75,36.24K,0.34%,,
16-Jan-15,3613.90,3610.00,3625.00,3591.20,93.84K,-0.27%,,
15-Jan-15,3623.60,3540.00,3638.00,3540.00,73.03K,3.04%,,
14-Jan-15,3516.60,3460.00,3530.00,3460.00,51.12K,1.34%,,
13-Jan-15,3470.15,3462.00,3514.40,3461.80,49.55K,0.18%,,
12-Jan-15,3463.75,3469.10,3483.10,3447.50,25.74K,-0.06%,,
9-Jan-15,3465.80,3490.00,3505.00,3431.00,18.67K,-0.24%,,
8-Jan-15,3474.15,3450.00,3507.00,3442.50,26.15K,1.05%,,
7-Jan-15,3438.00,3400.00,3460.00,3382.80,38.12K,1.25%,,
6-Jan-15,3395.55,3449.00,3449.00,3385.00,37.91K,-1.51%,,
5-Jan-15,3447.60,3367.50,3467.25,3367.50,76.76K,2.62%,,
2-Jan-15,3359.70,3365.00,3381.95,3352.15,23.72K,0.54%,,
1-Jan-15,3341.50,3330.00,3360.00,3321.05,43.14K,0.40%,,
31-Dec-14,3328.30,3324.00,3341.90,3296.05,48.35K,-0.63%,,
30-Dec-14,3349.30,3350.00,3366.00,3341.00,18.88K,0.08%,,
29-Dec-14,3346.75,3330.00,3378.00,3330.00,18.12K,0.47%,,
26-Dec-14,3330.95,3379.75,3388.90,3321.15,22.53K,-1.31%,,
24-Dec-14,3375.15,3400.00,3420.00,3348.50,26.38K,-0.69%,,
23-Dec-14,3398.60,3394.00,3424.00,3386.00,17.25K,0.14%,,
22-Dec-14,3393.85,3360.05,3414.00,3360.05,24.43K,1.12%,,
19-Dec-14,3356.15,3404.00,3459.75,3335.10,54.04K,-0.87%,,
18-Dec-14,3385.70,3273.65,3410.00,3273.65,43.97K,3.91%,,
17-Dec-14,3258.20,3298.00,3312.35,3250.00,28.74K,-1.60%,,
16-Dec-14,3311.20,3350.00,3380.80,3301.05,20.29K,-1.69%,,
15-Dec-14,3368.10,3372.00,3379.00,3348.30,54.31K,-0.42%,,
12-Dec-14,3382.15,3341.65,3394.90,3341.65,29.40K,1.30%,,
11-Dec-14,3338.60,3325.00,3365.00,3290.00,19.28K,0.53%,,
